Código 2,Producto,PUBLICO TIENDA
B-SAMN10P,BATERIA SAMSUNG NOTE 10 PLUS,1690
B-SAMN2,BATERIA SAMSUNG NOTE 2,1690
B-SAMNOTE20,BATERIA SAMSUNG NOTE 20,1690
B-SAMNOTE20U,BATERIA SAMSUNG NOTE 20 ULTRA,1990
B-SAMN3,BATERIA SAMSUNG NOTE 3,1390
B-SAMN4,BATERIA SAMSUNG NOTE 4,1390
B-SAMN5,BATERIA SAMSUNG NOTE 5,1390
B-SAMN8,BATERIA SAMSUNG NOTE 8,1390
B-SAMN9,BATERIA SAMSUNG NOTE 9,1690
B-SAMS10,BATERIA SAMSUNG S10,1590
B-SAMS10P,BATERIA SAMSUNG S10 PLUS,1690
B-SAMS10P5G,BATERIA SAMSUNG S10 PLUS 5G,1690
B-SAMS10E,BATERIA SAMSUNG S10E,1690
B-SAMS20,BATERIA SAMSUNG S20,1690
B-SAMS20FE,BATERIA SAMSUNG S20 FE // A52,1690
B-SAMS20PL,BATERIA SAMSUNG S20 PLUS,1690
B-SAMS20U,BATERIA SAMSUNG S20 ULTRA,1690
B-SAMS21,BATERIA SAMSUNG S21,1690
B-SAMS21FE,BATERIA SAMSUNG S21 FE,1690
B-SAMS21P,BATERIA SAMSUNG S21 PLUS,1690
B-SAMS21U,BATERIA SAMSUNG S21 ULTRA,1690
B-SAMS22,BATERIA SAMSUNG S22,1990
B-SAMS22UL,BATERIA SAMSUNG S22 ULTRA,1990
B-SAMS23U,BATERIA SAMSUNG S23 ULTRA,2990
B-SAMS24,BATERIA SAMSUNG S24,0
B-SAMS4,BATERIA SAMSUNG S4,1690
B-SAMS4M,BATERIA SAMSUNG S4 MINI,1690
B-SAMS5,BATERIA SAMSUNG S5,1690
B-SAMS5M,BATERIA SAMSUNG S5 MINI,1690
B-SAMS6,BATERIA SAMSUNG S6,1690
B-SAMS6E,BATERIA SAMSUNG S6 EDGE,1690
B-SAMS6EP,BATERIA SAMSUNG S6 EDGE PLUS,1690
B-SAMS7,BATERIA SAMSUNG S7,1690
B-SAMS7E,BATERIA SAMSUNG S7 EDGE,1690
B-SAMS8,BATERIA SAMSUNG S8,1690
B-SAMS8P,BATERIA SAMSUNG S8 PLUS,1690
B-SAMS9,BATERIA SAMSUNG S9,1690
B-SAMS9P,BATERIA SAMSUNG S9 PLUS,1690
B-SONYL1,BATERIA SONY L1 / G3312,1690
B-SONM2,BATERIA SONY M2,1690
B-SONYXA1,BATERIA SONY XA1 G3112,1690
B-SONYXA1P,BATERIA SONY XA1 PLUS,1690
B-SONYXA1U,BATERIA SONY XA1 ULTRA G3212,1690
B-SONYXZ3,BATERIA SONY XZ3,1690
